spectrum_lambda,method,region,score_error_mean,score_error_sd,n_seeds
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.09642286617184102,0.0026082306597506343,3
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.06962836313651355,0.0005182439431753396,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,0.02925590275313336,0.0002471433656893132,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,0.08316494393263384,0.0004321190645913005,3
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,0.07522128148668307,0.0003574356368207178,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,0.03380163589597649,0.0010263728812056553,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,0.07387003024168935,0.001033661048594044,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,0.06678301782757057,0.000553975958602559,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,0.030781069992385002,0.0007346351164475189,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,0.07125749714033756,0.0007920696195106739,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,0.058573916567751856,0.00023829000296389258,3
