spectrum_lambda,method,region,score_error_mean,score_error_sd,n_seeds
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,0.0669178624168275,0.000642368652419055,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,0.03052241293224697,0.0007486434262856725,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,0.07080203513643943,0.0007866567029427346,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,0.05879711844701521,5.231584236149439e-05,3
1.0,scalar_gate_s1p5_p4_linear_sigma,low,0.03335547017770334,0.0005793468213893812,3
1.0,scalar_gate_s1p5_p4_linear_sigma,middle,0.07257879198336252,0.0010364839362780704,3
1.0,scalar_gate_s1p5_p4_linear_sigma,high,0.06805943800766484,0.00025650512310180135,3
1.0,fourier_gate_s1p5_p4_linear_sigma,low,0.031406522464812285,0.0006990986552397414,3
1.0,fourier_gate_s1p5_p4_linear_sigma,middle,0.07050391321045442,0.0006438082382917517,3
1.0,fourier_gate_s1p5_p4_linear_sigma,high,0.061064178219613297,0.00028143639641286004,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,low,0.0336517625950841,0.0006893215940566624,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,middle,0.07393848333881535,0.0008261320178367856,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,high,0.06721782514607676,0.00038574080945250457,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,low,0.03192858911830563,0.0008783205398717472,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,middle,0.07114693492538589,0.0005995040020827847,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,high,0.0597978165316899,0.0002732484776595242,3
